,Industry,id
0,Accounting/Finance,1
1,Advertising/Public Relations,2
2,Aerospace/Aviation,3
3,Arts/Entertainment/Publishing,4
4,Automotive,5
5,Banking/Mortgage,6
6,Business Development,7
7,Business Opportunity,8
8,Clerical/Administrative,9
9,Construction/Facilities,10
10,Consumer Goods,11
11,Customer Service,12
12,hahaha,13
13,Energy/Utilities,14
14,Engineering,15
15,Government/Military,16
100,Green,17
17,Healthcare,18
18,Hospitality/Travel,19
19,Human Resources,20
20,Installation/Maintenance,21
21,Insurance,22
22,Internet,23
23,Job Search Aids,24
24,Law Enforcement/Security,25
25,Legal,26
26,Management/Executive,27
27,Manufacturing/Operations,28
28,Marketing,29
29,Non-Profit/Volunteer,30
30,Pharmaceutical/Biotech,31
31,Professional Services,32
32,QA/Quality Control,33
33,Real Estate,34
34,Restaurant/Food Service,35
35,Retail,36
36,Sales,37
37,Science/Research,38
38,Skilled Labor,39
39,Technology,40
40,Telecommunications,41
41,Transportation/Logistics,42
42,Other,43
